detector (E),detector (H)
[0. 0. 0.],[5.83960248e-05 0.00000000e+00 0.00000000e+00]
[ 0.          0.         -0.00030786],[-2.38208596e-05  4.28078721e-04  0.00000000e+00]
[ 0.00000000e+00  0.00000000e+00 -5.98469064e-05],[-0.00014941  0.00042077  0.        ]
[0.         0.         0.00049744],[-0.00024234 -0.00013262  0.        ]
[0.         0.         0.00099665],[-2.01259997e-05 -7.84757218e-04  0.00000000e+00]
[0.         0.         0.00071762],[-0.00038439 -0.00112328  0.        ]
[0.         0.         0.00144531],[ 0.0005478  -0.00143574  0.        ]
[ 0.          0.         -0.00084923],[-0.00032418 -0.00065174  0.        ]
[0.         0.         0.00127901],[ 0.00064029 -0.00101955  0.        ]
[ 0.         0.        -0.0022191],[4.98613439e-06 5.24404804e-04 0.00000000e+00]
[0.         0.         0.00034661],[2.52839732e-04 4.89929390e-05 0.00000000e+00]
[ 0.          0.         -0.00203951],[0.00040394 0.00131056 0.        ]
[ 0.          0.         -0.00095439],[-0.00043946  0.00112242  0.        ]
[ 0.          0.         -0.00053717],[0.00081103 0.00131278 0.        ]
[ 0.         0.        -0.0017428],[-0.00102957  0.0015439   0.        ]
[0.         0.         0.00103993],[0.00087629 0.00077528 0.        ]
[ 0.          0.         -0.00140995],[-0.0010314   0.00110529  0.        ]
[0.         0.         0.00177278],[4.00245247e-04 1.47266426e-05 0.00000000e+00]
[ 0.          0.         -0.00011854],[-0.00036083  0.00010906  0.        ]
[0.         0.         0.00145712],[-0.00052988 -0.00066048  0.        ]
[0.         0.         0.00145112],[ 0.00074936 -0.00096794  0.        ]
[0.         0.         0.00055467],[-0.00147229 -0.00107805  0.        ]
[0.         0.         0.00227454],[ 0.00156727 -0.00162011  0.        ]
[ 0.00000000e+00  0.00000000e+00 -1.05073814e-05],[-0.0016519  -0.00130859  0.        ]
[0.         0.         0.00183882],[ 0.00137892 -0.0016417   0.        ]
[ 0.          0.         -0.00012795],[-0.00083727 -0.00127017  0.        ]
[0.         0.         0.00091164],[ 0.0005408  -0.00128254  0.        ]
[ 0.          0.         -0.00061672],[-1.20112460e-05 -8.24764417e-04  0.00000000e+00]
[0.         0.         0.00047817],[ 0.00016133 -0.00079183  0.        ]
[ 0.          0.         -0.00154847],[ 2.47686534e-05 -1.93374374e-04  0.00000000e+00]
[0.         0.         0.00017613],[ 0.00037023 -0.00018641  0.        ]
[ 0.          0.         -0.00189353],[-2.43091149e-05  3.37971677e-04  0.00000000e+00]
[ 0.          0.         -0.00070902],[-8.46861363e-05  4.70900367e-04  0.00000000e+00]
[ 0.          0.         -0.00132712],[0.00082979 0.00070065 0.        ]
[ 0.          0.         -0.00172171],[-0.00102697  0.00107672  0.        ]
[ 0.          0.         -0.00120513],[0.00134469 0.00111506 0.        ]
[ 0.          0.         -0.00155231],[-0.00100092  0.00121779  0.        ]
[ 0.          0.         -0.00159446],[0.0007862  0.00151722 0.        ]
[ 0.          0.         -0.00140876],[-0.00059775  0.00141823  0.        ]
[ 0.          0.         -0.00105164],[0.00096746 0.00151041 0.        ]
[ 0.          0.         -0.00229115],[-0.00120932  0.00173464  0.        ]
[ 0.          0.         -0.00037934],[0.00128092 0.00160301 0.        ]
[ 0.          0.         -0.00187871],[-0.00114395  0.00153027  0.        ]
[ 0.          0.         -0.00093768],[0.00107447 0.00174525 0.        ]
[ 0.          0.         -0.00164344],[-0.00095006  0.00173228  0.        ]
[ 0.          0.         -0.00037954],[0.00094    0.00144553 0.        ]
[ 0.          0.         -0.00224524],[-0.00119066  0.00198142  0.        ]
[0.00000000e+00 0.00000000e+00 3.43997023e-05],[0.00155846 0.00131243 0.        ]
[ 0.          0.         -0.00220597],[-0.00164052  0.00191666  0.        ]
[ 0.          0.         -0.00013516],[0.00135374 0.0014524  0.        ]
[ 0.          0.         -0.00216939],[-0.00104053  0.00195285  0.        ]
[ 0.          0.         -0.00014186],[0.00102569 0.00129808 0.        ]
[ 0.          0.         -0.00216885],[-0.00134642  0.00193351  0.        ]
[ 0.          0.         -0.00036618],[0.00159554 0.00149347 0.        ]
[ 0.          0.         -0.00218997],[-0.00152647  0.00184505  0.        ]
[ 0.          0.         -0.00041783],[0.00109045 0.00137074 0.        ]
[ 0.          0.         -0.00216692],[-0.00085732  0.00181772  0.        ]
[ 0.          0.         -0.00102946],[0.00074882 0.00147113 0.        ]
[ 0.          0.         -0.00142782],[-0.00089953  0.00141414  0.        ]
[ 0.         0.        -0.0017343],[0.00079276 0.00166418 0.        ]
[ 0.          0.         -0.00142972],[-0.00096498  0.00098087  0.        ]
[ 0.          0.         -0.00123786],[0.00065735 0.00132534 0.        ]
[ 0.          0.         -0.00150305],[-0.00045423  0.00087829  0.        ]
[ 0.          0.         -0.00183656],[-0.0001901   0.00093844  0.        ]
[ 0.          0.         -0.00020278],[-3.50360492e-05  2.09622650e-04  0.00000000e+00]
[ 0.          0.         -0.00212042],[-1.27900782e-05  5.74579840e-04  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 8.84529372e-05],[-0.00035052 -0.00032336  0.        ]
[ 0.          0.         -0.00126557],[-0.0001427  -0.00021288  0.        ]
[0.         0.         0.00025653],[ 0.00034987 -0.0006721   0.        ]
[ 0.          0.         -0.00072688],[-0.00107738 -0.00092656  0.        ]
[0.         0.         0.00134166],[ 0.00123327 -0.00122635  0.        ]
[ 0.          0.         -0.00053868],[-0.0012794  -0.00135982  0.        ]
[0.         0.         0.00187744],[ 0.00096722 -0.00145627  0.        ]
[0.         0.         0.00047322],[-0.00053316 -0.001602    0.        ]
[0.         0.         0.00131334],[ 0.00047417 -0.00122156  0.        ]
[0.        0.        0.0017292],[-0.00014285 -0.00151953  0.        ]
[0.         0.         0.00046486],[ 0.0005095  -0.00058535  0.        ]
[0.         0.         0.00194357],[-0.00017528 -0.00090755  0.        ]
[0.00000000e+00 0.00000000e+00 2.76434027e-05],[0.00046338 0.00015384 0.        ]
[0.         0.         0.00107108],[0.00016822 0.00018205 0.        ]
[ 0.          0.         -0.00041712],[-0.00029348  0.00078242  0.        ]
[0.00000000e+00 0.00000000e+00 7.40956913e-05],[0.00089859 0.00118539 0.        ]
[ 0.          0.         -0.00110555],[-0.0011656   0.00115208  0.        ]
[ 0.          0.         -0.00066791],[0.00113636 0.00160193 0.        ]
[ 0.          0.         -0.00131881],[-0.00119652  0.00096811  0.        ]
[ 0.          0.         -0.00130912],[0.00037127 0.00131078 0.        ]
[ 0.         0.        -0.0004795],[-0.00022339  0.00014514  0.        ]
[ 0.          0.         -0.00158494],[-0.00093492  0.00039841  0.        ]
[0.         0.         0.00104975],[ 0.00113018 -0.00092044  0.        ]
[ 0.          0.         -0.00115609],[-0.00177809 -0.00065867  0.        ]
[0.         0.         0.00218535],[ 0.00180229 -0.00153715  0.        ]
[ 0.          0.         -0.00012795],[-0.00127114 -0.00109037  0.        ]
[0.         0.         0.00175169],[ 0.00113455 -0.00105309  0.        ]
[0.         0.         0.00058416],[-0.00012602 -0.00045226  0.        ]
[0.         0.         0.00030994],[0.00023375 0.00025703 0.        ]
[ 0.          0.         -0.00017877],[1.43041503e-06 7.26296248e-04 0.00000000e+00]
[ 0.          0.         -0.00055712],[-8.57298836e-05  8.47504760e-04  0.00000000e+00]
[ 0.          0.         -0.00050258],[-0.00010087  0.00050194  0.        ]
[ 0.          0.         -0.00013231],[-2.49623815e-05 -1.56610208e-05  0.00000000e+00]
[0.00000000e+00 0.00000000e+00 7.28516179e-05],[ 0.00000000e+00 -9.62950707e-05  0.00000000e+00]
